transaction_id,loan_id
4543,2
4544,2
4545,2
4546,2
4547,2
4548,2
4549,2
4550,2
4551,2
4552,2
4553,2
4554,2
4555,2
4556,2
4557,2
4558,2
4559,2
4560,2
4561,2
4562,2
4563,2
4564,2
4565,2
4566,2
4567,2
4568,2
4569,2
4570,2
4571,2
4572,2
4573,2
4574,2
4575,2
4576,2
4577,2
4578,2
4592,2
4593,2
4594,2
4595,2
4596,2
4597,2
4598,2
4599,2
4600,2
4601,2
4602,2
4603,2
4604,2
4605,2
4606,2
4607,2
4608,2
4609,2
4610,2
4611,2
4612,2
4613,2
4614,2
4615,2
4616,2
4617,2
4618,2
4619,2
4620,2
4621,2
4622,2
4623,2
4624,2
4625,2
4626,2
4639,2
4640,2
4641,2
4642,2
4643,2
4644,2
4645,2
4646,2
4647,2
4648,2
4649,2
4650,2
4651,2
4652,2
4653,2
4654,2
4656,2
4657,2
4658,2
4659,2
4661,2
4663,2
4667,2
4668,2
4669,2
4671,2
4673,2
4674,2
4698,2
4714,2
4715,2
4723,2
4725,2
4729,2
4775,2
4776,2
4777,2
4778,2
4779,2
4780,2
4781,2
4782,2
4783,2
4784,2
4785,2
4786,2
4787,2
4788,2
4789,2
4790,2
4791,2
4792,2
4793,2
4794,2
4795,2
4796,2
4797,2
4798,2
4799,2
4800,2
4801,2
4802,2
4803,2
4804,2
4805,2
4806,2
4807,2
4808,2
4809,2
4818,2
4819,2
4820,2
4821,2
4822,2
4823,2
4824,2
4825,2
4826,2
4827,2
4828,2
4829,2
4830,2
4831,2
4832,2
4833,2
4834,2
4835,2
4836,2
4837,2
4838,2
4839,2
4840,2
4841,2
4842,2
4843,2
4844,2
4845,2
4846,2
11059,4
11060,4
11061,4
11062,4
11063,4
11064,4
11065,4
11066,4
11067,4
11068,4
11081,4
11082,4
11083,4
11084,4
11085,4
11086,4
11087,4
11088,4
11089,4
11090,4
11091,4
11105,4
11106,4
11107,4
11108,4
11109,4
11110,4
11111,4
11112,4
11113,4
11114,4
11115,4
11116,4
11129,4
11130,4
11131,4
11132,4
11133,4
11134,4
11135,4
11136,4
11137,4
11138,4
11139,4
11140,4
11153,4
11154,4
11155,4
11156,4
11157,4
11158,4
11159,4
11160,4
11161,4
11162,4
11163,4
11164,4
11173,4
11175,4
11182,4
11189,4
11190,4
11193,4
11194,4
11201,4
11202,4
11204,4
11205,4
11219,4
11220,4
11221,4
11222,4
11223,4
11224,4
11225,4
11226,4
11227,4
11228,4
11229,4
11235,4
11236,4
11237,4
11238,4
11239,4
11240,4
11241,4
11242,4
11243,4
11274,5
11275,5
11276,5
11277,5
11278,5
11279,5
11280,5
11281,5
11282,5
11283,5
11284,5
11285,5
11298,5
11299,5
11300,5
11301,5
11302,5
11303,5
11304,5
11305,5
11306,5
11307,5
11308,5
11309,5
11322,5
11323,5
11324,5
11325,5
11326,5
11327,5
11328,5
11329,5
11330,5
11331,5
11332,5
11333,5
11346,5
11347,5
11348,5
11349,5
11350,5
11351,5
11352,5
11353,5
11354,5
11355,5
11356,5
11357,5
11370,5
11371,5
11372,5
11373,5
11374,5
11375,5
11376,5
11377,5
11378,5
11379,5
11380,5
11381,5
11383,5
11387,5
11390,5
11392,5
11394,5
11398,5
11400,5
11407,5
11408,5
11409,5
11412,5
11417,5
11418,5
11419,5
11420,5
11421,5
11435,5
11436,5
11437,5
11438,5
11439,5
11440,5
11441,5
11442,5
11443,5
11444,5
11445,5
11450,5
11451,5
11452,5
11453,5
11454,5
11455,5
11456,5
11457,5
11458,5
11459,5
11460,5
11461,5
31999,8
32000,8
32001,8
32002,8
32003,8
32004,8
32005,8
32006,8
32007,8
32008,8
32009,8
32010,8
32011,8
32012,8
32013,8
32014,8
32015,8
32016,8
32017,8
32018,8
32019,8
32020,8
32021,8
32022,8
32038,8
32039,8
32040,8
32041,8
32042,8
32043,8
32044,8
32045,8
32046,8
32047,8
32048,8
32049,8
32050,8
32051,8
32052,8
32053,8
32054,8
32055,8
32056,8
32057,8
32058,8
32062,8
32063,8
32064,8
32066,8
32068,8
32069,8
32072,8
32073,8
32074,8
32075,8
32076,8
32077,8
32078,8
32079,8
32080,8
32081,8
32082,8
32084,8
32085,8
32098,8
32101,8
32102,8
32107,8
32108,8
32110,8
32112,8
32113,8
32114,8
32115,8
32116,8
32133,8
32134,8
32135,8
32136,8
32137,8
32138,8
32139,8
32140,8
32141,8
32142,8
32143,8
32144,8
32145,8
32146,8
